"date","type","price","shares","gainOrLoss","balance","open","high","low","adjClose"
"2021-04-07","buy",43.380001,2305,0,9.097695000004023,43.990002,44,42.34,42.678204
"2021-05-07","sell",36.93,2305,-14867.252305,85132.747695,36.509998,37.549999,35.91,36.33255
"2021-06-07","buy",38.91,2187,0,36.57769499999995,39.259998,39.439999,38.150002,38.280518
"2021-10-01","sell",40.07,2187,2536.9200000000083,87669.667695,40.5,40.700001,38.060001,39.421749
"2021-10-27","buy",44.09,1988,0,18.74769499998365,44.23,45.610001,43.560001,43.37672
"2022-01-14","sell",64.480003,1988,40535.32596399999,128204.99365899997,58.759998,64.540001,58.560001,63.452286
"2022-03-30","buy",41.349998,3100,0,19.999858999974094,44.709999,45.200001,40.68,40.698242
"2022-04-06","sell",30.51,3100,-33603.9938,94600.99985899997,30.85,32.099998,29.559999,30.029104
"2022-07-29","buy",19.83,4770,0,11.899858999982825,18.57,19.99,18.32,19.54253
"2022-09-01","sell",13.22,4770,-31529.69999999999,63071.299858999984,13.03,13.26,11.97,13.028354
"2022-11-14","buy",12.77,4939,0,0.2698589999854448,12.99,13.51,12.73,12.626071
"2022-12-28","sell",8.86,4939,-19311.49,43759.80985899998,9.1,9.43,8.74,8.79139
"2023-01-18","buy",12.82,3413,0,5.1498589999755495,13.45,13.76,12.81,12.720725
"2023-04-19","sell",15.26,3413,8327.719999999998,52087.52985899997,15.2,15.38,14.98,15.164657
"2023-05-23","buy",16.92,3078,0,7.769858999970893,17.200001,17.549999,16.790001,16.814285
"2023-08-14","sell",22.93,3078,18498.779999999995,70586.30985899997,20.860001,22.959999,20.66,22.821917
"2023-11-14","buy",22.139999,3188,0,3.9930469999671914,21.51,22.389999,21.379999,22.072187
"2024-04-17","sell",37.060001,3188,47564.966376000004,118151.27623499997,40.599998,40.849998,36.639999,37.060001
"2024-05-17","buy",45.400002,2602,0,20.47103099996457,47.02,47.380001,44.330002,45.400002
Summary,,,,18151.276235,18.151276235,169774.94582699996,,,,